Guerilla Player,COIN Player,Total Games,Guerilla Victories,Total COIN Victories,COIN Capture Victories,COIN Runout Victories,Draws,Mean Turns Per Game,Mean Turns per Guerilla Victory,Mean Turns per COIN Victory,Mean Turns per Draw,Mean COIN Checkers left per COIN Victory,Mean COIN Checkers left per Draw,Tournament Time (ms),Time Per Game (ms),Mean Guerilla Branching Factor,Mean COIN Branching Factor
Lookahead,No Lookahead,10,0,10,2,8,0,53.3,,53.2,,,,898943,89894.3,,
Lookahead,Utility Computer Player,10,0,8,2,6,2,53.3,,52.5,56.0,,,697086,69708.6,,
No Lookahead,Lookahead,10,1,9,3,6,0,44.7,52.0,43.78,,,,15224,1522.4,,
No Lookahead,Utility Computer Player,10,0,9,2,7,1,50.7,,51.22,45.0,,,5969,596.9,,
Utility Computer Player,Lookahead,10,0,9,1,8,1,54.3,,59.33,8.0,,,23418,2341.8,,
Utility Computer Player,No Lookahead,10,0,6,2,4,4,45.1,,44.0,46.5,,,5424,542.4,,
